tool,sentence
elasticapm,I have setup of Elastic with APM server on single machine.
elasticapm,I've configured APM java agent to push traces to APM server on localhost.
elasticapm,Everything works fine with localhost configuration on Windows.
elasticapm,"Now, I'm looking to run apm java agent for application running on different machine on the same network."
elasticapm,That is apm java agent on linux &amp; apm server running on windows machine.
elasticapm,Default APM-server listen to localhost.
elasticapm,I tried to change setting on apm-server.yml file with -
elasticapm,default is:
elasticapm,"After making apm-server.yml change, process explorer show apm-server.exe process listening to IP- host-ip port- 8200 protocol- TCP."
elasticapm,"But, still  http://host-ip:8200  is not accessible from other machine on network."
elasticapm,While on the same machine (windows)  http://localhost:8200  &amp;  http://host-ip:8200  works fine &amp; give below response.
elasticapm,Thanks for help.
elasticapm,"Given this docker file to setup the backend services that includes: elasticsearch, apm-server, kibana, jaeger-collector, jaeger-agent, jaeger-query, grafana."
elasticapm,I am running Elastic APM with Opentracing from my Angular client:
elasticapm,I am encountering CORS issue:
elasticapm,My goal is to hook up Angular the elastic APM's opentracing client to the services inside docker.
elasticapm,There are some additional issues and documents that covers CORS for apm-server:
elasticapm,Distributed Tracing Guide
elasticapm,Config with RUM enabled
elasticapm,"It looks like the config should work, since  Default value is set to ['*'], which allows everything."
elasticapm,"I am quite new to Elastic APM, Kibana, Elasticsearch and APM in general and did not come across any information pointing towards my needs."
elasticapm,I set up the  elastic-apm[flask]  module and followed the tutorial.
elasticapm,"In the Kibana dashboard I get information like response times and server name, but the fields for client.ip etc."
elasticapm,are empty.
elasticapm,I would like to track the IP addresses (more exactly where my website visitors come from).
elasticapm,"So, how do I get the user's IP address into the client.ip field in Elastic APM?"
elasticapm,I don't want to issue an  app.logger.debug  statement everytime a route is being requested.
elasticapm,I'm currently checking why the APM UI in Kibana doesn't output me the information when the timeframe is set to more than 24 hours.
elasticapm,When checking the config I did notice that we haven't had the Kibana endpoint set for the APM server.
elasticapm,Checking the APM logs I can't see an error but when going to the APM UI I can find this error in the Kibana logs:
elasticapm,From the output it looks like that Kibana can't find any server configuration but the setup was done successfully but I can't as well access the APM settings that were moved in Kibana (timeout with error 404).
elasticapm,Other queries or the query from the same indices work well without any increased delay.
elasticapm,The APM agent is the latest version of the Django (Python) agent.
elasticapm,"And the resource metrics from clusters as well as status are really good, so the cluster should be powerful enough."
elasticapm,We have had as well testing deploy in Kubernetes and the services sometimes show up in the APM UI but it's turned off currently.
elasticapm,Environment and versions:
elasticapm,"Elasticsearch deployed on GCP in Docker containers (4 nodes on different VMs + 1 VM with APM Server, Kibana, and Elasticsearch client node)."
elasticapm,"ES, Kibana, APM-Server versions: 7.3.1"
elasticapm,"I'm using Elastic APM, and want to find out how long the garbage collector has been running during a period of time."
elasticapm,"This is to understand if the application is running out of memory, which seems more accurate than just checking heap used, as garbage collection could trigger when heap space is limited, and then free up a large amount."
elasticapm,"Elastic APM will track  jvm.gc.time , which the Elastic site defines as:"
elasticapm,The approximate accumulated collection elapsed time in milliseconds.
elasticapm,Source
elasticapm,I assumed this meant how much time has been spent garbage collecting since the application started.
elasticapm,"My plan was to read this value periodically, and determine how much of the time interval was spent garbage collecting."
elasticapm,"When I read this value two different times, it turns out the second, and  later  reading, is actually lower than the first."
elasticapm,First Reading
elasticapm,Second Reading
elasticapm,Can anyone help me understand what  jvm.gc.time  captures?
elasticapm,"I am interested in using Elastic APM within an ASP.NET Core to instrument traces of a set of services which communicate over a mix of protocols (HTTP, SQS, SNS)."
elasticapm,"Despite reviewing the documentation, I am not clear how I can use the  Elastic APM Public API  to connect transactions to one another which occur outside of HTTP (HttpClient is automatically instrumented for trace by Elastic APM)."
elasticapm,"According to the documentation, I should be able to serialize the  CurrentTransaction.OutgoingDistributedTracingData  on the caller and then deserialize it to resume the transaction on the callee, but despite implementing this pattern in memory, my traces in Kibana are missing spans from all but the final transaction."
elasticapm,My implementation spike can be found on  Github .
elasticapm,I add ElasticAPM to my startup on AspNetCore 3.1
elasticapm,"in my project, rest api services logs as transaction tab of kibana-apm."
elasticapm,but my background services dos not logged by apm agent &amp; only metrics tab work for me.
elasticapm,"I have set up an elastic stack with elasticsearch, filebeat, kibana and apm server, and an spring-boot-application with the apm java agent and started my setup in a docker compose file."
elasticapm,I have enabled the dashboard and I can see traces about processes in the application.
elasticapm,"But I cannot filter for container id, because there is no id."
elasticapm,"How do I enable my stack apm server/apm agent to receive the metadata about container id, pod id and so on."
elasticapm,Where can I enable metadata for apm server / apm agent to receive the container id for instance.
elasticapm,My apm server can't connect to ES with the following log
elasticapm,"I tried to 'reset' the index by the following command, it won't work either"
elasticapm,"I tried to setup a policy where apm data is deleted after 3 month, and I think I messed up the index setup.. (I can't remember what I did exactly)"
elasticapm,How do I reset the index and start using apm again?
elasticapm,"(It's a plus if I can retain the data, but I can sacrifice it)"
elasticapm,I am trying to instrument our java webapp based on tomcat using Elastic APM.
elasticapm,Tomcat starts fine without the javaagent but refuses to start with it.
elasticapm,I do not see any logs in /var/log/tomcat.
elasticapm,The following is the log:
elasticapm,Has anyone faced this before?
elasticapm,Any ideas what I could do to fix it?
elasticapm,Getting error while integrating Elastic APM in the Node Express application.
elasticapm,"Nodejs: v6.4.2,"
elasticapm,app.js
elasticapm,package.json
elasticapm,Error:
elasticapm,"You have triggered an unhandledRejection, you may have forgotten to catch a Promise rejection:
  Error: Can't set headers after they are sent."
elasticapm,"at ServerResponse.OutgoingMessage.setHeader (_http_outgoing.js:335:11)
      at /home/ubuntu/depanels/server/api/user/user.controller.js:22:25
      at /home/ubuntu/depanels/server/auth/auth.service.js:149:28
      at _fulfilled (/home/ubuntu/depanels/node_modules/q/q.js:854:54)
      at self.promiseDispatch.done (/home/ubuntu/depanels/node_modules/q/q.js:883:30)
      at Promise.promise.promiseDispatch (/home/ubuntu/depanels/node_modules/q/q.js:816:13)
      at /home/ubuntu/depanels/node_modules/q/q.js:624:44
      at runSingle (/home/ubuntu/depanels/node_modules/q/q.js:137:13)
      at flush (/home/ubuntu/depanels/node_modules/q/q.js:125:13)
      at elasticAPMCallbackWrapper (/home/ubuntu/depanels/node_modules/elastic-apm-node/lib/instrumentation/index.js:191:27)
      at nextTickCallbackWith0Args (node.js:419:9)
      at process._tickDomainCallback [as _tickCallback] (node.js:389:13)
  Elastic APM HTTP error (404): 404 page not found
  Elastic APM HTTP error (404): 404 page not found"
elasticapm,Please suggest where I am doing wrong?
elasticapm,I need to send span to elastic-apm after sending express response.
elasticapm,"In my code example, i use setInterval."
elasticapm,"First express response, after 1 second, i try use startspan, but i got error: Cannot read property 'end' of null"
elasticapm,My elastic stack version is 7.6.2
elasticapm,I am using Elastic APM.
elasticapm,I find that mongoose integration is not working when used with GraphQL/Apollo Server somehow.
elasticapm,I wrote an apollo-server plugin like this to start/stop transactions:
elasticapm,"It works, but I am missing spans from mongoose, when I enable trace, this is what I see:"
elasticapm,"Notice the spans created fine before and after those mongoose calls, but the mongoose calls seem to be unable to find the active transaction somehow."
elasticapm,no active transaction found - cannot build new span
elasticapm,I am adding the elastic-apm-node package to our nestjs backend.
elasticapm,I am using the graphql feature of nestjs.
elasticapm,"Because of this, all requests are merged together as  /graphql  in elastic."
elasticapm,Is this how it is supposed to be?
elasticapm,"I imagined that since apollo-server-express is supported by elastic-apm-node, which is also used by nestjs, it should be displaying it better."
elasticapm,Am I missing something?
elasticapm,UPDATE
elasticapm,The graphql feature is set up using the docs for nestjs:  https://docs.nestjs.com/graphql/quick-start  it is basically their recommended setup I am using.
elasticapm,Has anyone already tried to connect wso2 production with elastic apm server ?
elasticapm,I have done this
elasticapm,But i dont have the http request of the API in the APM in kibana
elasticapm,I am running a sample application jar on local system using elasticAPM agent.
elasticapm,Elastic APM show 2 different cpu stats (system/process).
elasticapm,"Metrics explanation on official site says the same thing for both stats
 https://www.elastic.co/guide/en/apm/server/current/exported-fields-system.html"
elasticapm,"Please explain, Is the &quot;system cpu stats&quot; is of my system even when the agent is connected to application.jar only using java command?"
elasticapm,"If so, how can I check on elastic apm what else on my system in consuming cpu since only application is running during the load test."
elasticapm,java -javaagent:&lt;agent.jar&gt; -jar &lt;app.jar&gt;
elasticapm,The CPU usage shown below
elasticapm,"Elastic APM uses a Java agent to collect application performance metrics and sends it to the Elastic APM server, which means it will use Java instrumentation for underlying metrics in JVM."
elasticapm,My question is:
elasticapm,Is there any vulnerability issue or security risk for using it?
elasticapm,I am very new to Elastic APM and not sure how it can support different frameworks.
elasticapm,I can see that from the documentation APM supports Spring Boot.
elasticapm,I have tested a Spring Boot application with the APM and it looks promising.
elasticapm,I was wondering if APM supports Spring Cloud Stream as well.
elasticapm,Spring Cloud Stream provides Event Driven Architecture by using Spring Boot and messaging middleware.
elasticapm,"Middleware can be Kafka, RabbitMQ, etc."
elasticapm,Is there a way for me to track garbage collection of my Java application using Elastic APM and the associated Java APM agent?
elasticapm,"I'm using Spring Boot, if that makes a difference."
elasticapm,"Out-of-the-box I'm able to see the heap and non-heap memory utilization, but I'm not sure if there is also a way to view garbage collection."
elasticapm,When nesting spans in Elsatic APM through either the Opentracing API or Elastic APM's API.
elasticapm,Some spans are never recorded.
elasticapm,Using  import * as apm from '@elastic/apm-rum'; :
elasticapm,Using Elastic's OpenTracing API:
elasticapm,The behavior for spans are just as inconsistent.
elasticapm,It is unclear when a transaction begins or ends.
elasticapm,"Some spans are translated into transactions, and nested spans may not be recorded."
elasticapm,"If I declare a page wide transaction, Angular's  ngOnInit  can be recorded by a span, but other event hooks are never recorded."
elasticapm,I have tried variations of this.
elasticapm,"Wrapping span in span, childOf, app-level span, individual instances of span."
elasticapm,I am trying out Elastic APM.
elasticapm,I used automatic setup with  apm-agent-attach-standalone.jar .
elasticapm,"(I also used  -javaagent  flag (manual setup), and it worked fine)"
elasticapm,"Data was successfully recieved from the agents, and I used APM UI to monitor."
elasticapm,How do I detach this agent from the process?
elasticapm,What do I do if I want to stop this agent?
elasticapm,I'm looking to use Elastic APM to monitor my own custom events only (user action events) in Node.js
elasticapm,I can't find in the docs how to turn off all HTTP monitoring and also how to send a custom event.
elasticapm,They have custom span and custom transaction in the docs but I'm not sure when or how to use either for my use case.
elasticapm,For example in the docs they describe a custom transaction as follows:
elasticapm,"I'm not looking to send an error, I'm looking to send a custom event so I'm not sure what's up with that."
elasticapm,I'm trying out Elastic APM.
elasticapm,I have successfully created a service with data flowing in.
elasticapm,I wanted to see if I can have multiple services.
elasticapm,"Somehow, I ran into problems, so I wanted to delete some services."
elasticapm,"However, I couldn't find a way to delete a service."
elasticapm,Question : How can I delete a service in APM?
elasticapm,Indexes related to APM :
elasticapm,Above contains the service that I want to remove.
elasticapm,I've seen some APM that only measures web applications which run on WAS.
elasticapm,Can Elastic APM meausure the performance of other applications like pure Java application and etc?
elasticapm,"If not,  can I use  https://www.elastic.co/guide/en/apm/agent/java/1.x/public-api.html  (Public API) so that it can measure the performance of non web applications?"
elasticapm,I will appreciate any advice.
elasticapm,Cheers.
elasticapm,I integrated  Elastic APM  as follows to my Vue.js App.
elasticapm,It logs successfully to Elastic APM.
elasticapm,However it is not showing the current page name in logs correctly.
elasticapm,It seems to always show the first page on which the App has been mounted in APM.
elasticapm,I would like to always see the current page to be linked to the corresponding APM events.
elasticapm,Any suggestions how to achieve this?
elasticapm,The documentation says to set  pageLoadTransactionName .
elasticapm,"However it seems to not update this on route change:
 https://www.elastic.co/guide/en/apm/agent/rum-js/current/custom-transaction-name.html"
elasticapm,App.js
elasticapm,I can't understand if Elastic APM for Java should capture logs from slf4j or it can track only exceptions?
elasticapm,I have Spring Boot service that uses slf4j but I can't find log entries in apm index.
elasticapm,Can anybody clarify the expectation?
elasticapm,Thank you
elasticapm,flushing due to time since last flush 9.060s   max_flush_time 9.060s
elasticapm,I 'm getting tone of those message in django debug.
elasticapm,I tried changing to their default setting
elasticapm,Still getting lots of logs.
elasticapm,How to turn this off?
elasticapm,"I'm having trouble getting the APM ""button"" and dashboard to appear on the Kibana page."
elasticapm,"Yes, there is the ""Add APM"" button which tells you what to do, but it doesn't seem to actually work."
elasticapm,"Actually, this is not entirely true - I was able to get the APM ""button"" and corresponding dashboard ""installed"" in my Kibana view,  but I can't remember what I had to do to make that happen."
elasticapm,"I believe that I have the various components (Elasticsearch, Kibana, APM server) installed and running."
elasticapm,"The ""check APM server status"" button indicates that it's been set up properly."
elasticapm,"If I click the ""APM dashboard"" button at the bottom of the page, it gives me a list of items, but I don't know what they are or whether they have anything to do with APM."
elasticapm,I am at a loss as to how to get APM to appear in Kibana.
elasticapm,Does anybody have any ideas?
elasticapm,UPDATE :
elasticapm,https://www.elastic.co/guide/en/apm/server/current/getting-started-apm-server.html
elasticapm,then
elasticapm,https://www.elastic.co/guide/en/apm/server/current/installing.html
elasticapm,then
elasticapm,https://www.elastic.co/guide/en/apm/server/current/apm-server-configuration.html
elasticapm,This seems to provide specific information I haven't been able to find elsewhere.
elasticapm,The usage of  apm-server setup &lt;flags&gt;  seems promising.
elasticapm,I'm not sure which flags (if any) I should use?
elasticapm,I have integrated  Elastic APM  to my Vue.js App accordingly to the documentation ( https://www.elastic.co/guide/en/apm/agent/rum-js/current/vue-integration.html )
elasticapm,In addition to the default events  page-load  and  route-change  I want to add custom transactions/spans for some button clicks.
elasticapm,I am stucked with checking if there is already an existing transaction start which I could use to add a custom span:
elasticapm,However getting the current transaction fails (first line).
elasticapm,I am trying to integrate Elastic APM and Sentry into my website using Buffalo.
elasticapm,The interesting files are as follows:
elasticapm,handlers/sentryHandler.go
elasticapm,handlers/elasticAPMHandler.go
elasticapm,actions/app.go
elasticapm,"The problem I'm running into is if I have the Sentry/APM handlers at the top, then I get errors like  application.html: line 24: ""showPagePath"": unknown identifier ."
elasticapm,"However, if I move it to just before I set up the routes, then I get a no transaction found error."
elasticapm,"So, I'm guessing that the handler wrappers are dropping the  buffalo.Context  information."
elasticapm,"So, what would I need to do to be able to integrate Sentry and Elastic in Buffalo asides from trying to reimplement their wrappers?"
elasticapm,I am using Elastic APM agent ( https://www.elastic.co/guide/en/apm/agent/dotnet/current/index.html ) to instrument an ASP.NET MVC Application.
elasticapm,I added the nuget packages and added the module entry in the web.config.
elasticapm,I am able to get data in the Kibana APM tab and nicely shows the time spent by each call.
elasticapm,(see screenshot below).
elasticapm,Mu Question is: How can I drill down inside each of these calls to see where the time is spent in the stackstace?
elasticapm,Is there something I am missing?
elasticapm,We have newly introduced elastic APM to monitor application performance.
elasticapm,"After the deployment, we have an issue with Kibana APM UI that doesn't show up any transactions for few services."
elasticapm,we are having data in the APM indice but doesn't transactions show up in the Kibana APM dashboard   UI we get Avg.response time N/A and Trans.per minute is 0.
elasticapm,"APM-Server 7.6.1
Elastic Agent - 1.15.0
ELK Stack - 7.6.1"
elasticapm,Please help me on this to identify the issue.
elasticapm,Thanks in advance.
elasticapm,I try to implement profile based application in Spring Boot and this works for Spring Boot clearly.
elasticapm,"But when I try to implement it for elastic-search APM, it doesn't work."
elasticapm,According to  here : We can describe properties like with elastic.apm prefix:
elasticapm,but it doesn't work.
elasticapm,"When I call it with elasticapm.properties, it works."
elasticapm,Do you have any suggestion?
elasticapm,We're using the .NET agent (1.4) and Elastic ECE 7.6.
elasticapm,Activating the APM server and instrumenting our application was quite easy.
elasticapm,Everything seems to work up until the point where it needs to show the code snippet related to a particular span.
elasticapm,Below an example of what I'm looking for from a Node application:
elasticapm,My question:
elasticapm,"Is this not yet included in the .NET agent, or is there additional configuration necessary to get this working?"
elasticapm,I have the Elastic Stack running with Docker.
elasticapm,I've also added an Angular 9 App via Docker and enabled CORS on Elastic.
elasticapm,"I am trying to send logs from the Angular 9 app to APM (on port 9200), using the  APM Angular Package ."
elasticapm,However I'm getting a 400 error.
elasticapm,"I'm doing what the docs say, their NPM package and running:"
elasticapm,But still getting the error in the screenshot  [Elastic APM] Failed sending events!
elasticapm,"Error: ""http://localhost:9200/intake/v2/rum/events HTTP status: 400"""
elasticapm,Any advice on how to resolve this?
elasticapm,docker-compose.yml  file:
elasticapm,Elastic yml:
elasticapm,APM Server yml:
elasticapm,I am currently new to Elastic APM.
elasticapm,"I am currently developing an application using spring-webflux and want to monitor my application using Elastic APM, but unfortunately, it's not working for me."
elasticapm,Dependecies
elasticapm,"APM Java Agent Version -  1.8.0
Elastic search - 7.2.0
APM server - 7.2.0"
elasticapm,Exception observed -
elasticapm,Could someone please suggest what I am missing ?
elasticapm,I am trying to check for the instrumentation of a function which runs asynchronously through the @Async annotation in spring boot.
elasticapm,"I am using the following elastic APM library : 
  co.elastic.apm:elastic-apm-agent:1.9.0"
elasticapm,"As of now, with general configurations, I am able to see the instrumentation of API requests and scheduled jobs (@Scheduled annotation in spring boot), but I am not able to check the details of @Async annotated functions."
elasticapm,Is there any specific configuration that I need to do?
elasticapm,"As far as I know, it is available in newrelic."
elasticapm,It would be great if someone can point to a documentation / example for the same in elastic APM.
elasticapm,Thanks in advance.
elasticapm,I am getting errors with ElasticAPM version 5.5.2 while running
elasticapm,"Error: logging_config_func(self.LOGGING) File &quot;/usr/lib/python2.7/logging/config.py&quot;, line 795, in dictConfig dictConfigClass(config).configure() File &quot;/usr/lib/python2.7/logging/config.py&quot;, line 577, in configure '%r: %s' % (name, e)) ValueError: Unable to configure handler 'elasticapm': Cannot resolve 'elasticapm.contrib.django.handlers.LoggingHandler': No module named apps"
elasticapm,"Django: 1.6.11
Python: 2.7
ElastcAPM: 5.5.2"
elasticapm,I have a JavaScript application and configured Elastic APM/RUM on that.
elasticapm,As soon as I start to interact with the application some metrics start sending to APM Server (page_load for example).
elasticapm,I want to know if it's possible to send a specific text message to APM Server.
elasticapm,Example:
elasticapm,I'm trying to inject myDebugMessage this way:
elasticapm,payload.myDebugMessage = debugMessage
elasticapm,See the code below:
elasticapm,I have a standalone JAVA application.
elasticapm,And have integrated it successfully with Elastic APM (+ElasticSearch +Kibana) for capturing telemetries.
elasticapm,"Java Version:  8 - OpenJDK 
 Elastic Agent &amp; Library Version:  1.16 
 Elastic Search, APM and Kibana Version:  7.7.1"
elasticapm,Below are the relevant JVM Options being used:
elasticapm,However some out of the box transactions from Quartz(which is being used in the application) are shown as expected.
elasticapm,Which should mean the integration with the Elastic APM Server is fine.
elasticapm,"It appears to me, even though the transactions are being captured successfully, those are not reported(sent) to the APM Server"
elasticapm,Refer some relevant apm logs:
elasticapm,I have a standalone Python application.
elasticapm,The python process is not using any framework.
elasticapm,And is a simple standalone python process.
elasticapm,This has been successfully integrated with Elastic APM (+ElasticSearch +Kibana) for capturing telemetries.
elasticapm,"Python version:  3.7 
 elastic-apm python agent:  5.8.0 
 Elastic Search, APM and Kibana Version:  7.7.1 
 
As mentioned in the  official doc , I have used the following statements to start capturing metrics from my python process"
elasticapm,"But on Kibana, I am able to see only the following 3 system metrics (under 2 visualizations):"
elasticapm,"As per the  python code  analysis, as well as per what I have  read ."
elasticapm,Elastic APM Agent collects other process related metrics like:
elasticapm,"Refer the screenshot 
 
 
 
 Additionally, I expect the Elastic APM Python agent to collect other informations like :"
elasticapm,Which are already available for Elastic APM Java agent.
elasticapm,Refer the screenshot
elasticapm,"As of a few weeks ago we added filebeat, metricbeat and apm to our dotnet core application ran on our kubernetes cluster."
elasticapm,It works all nice and recently we discovered filebeat and metricbeat are able to write a different index upon several rules.
elasticapm,"We wanted to do the same for APM, however  searching the documentation  we can't find any option to set the name of the index to write to."
elasticapm,"Is this even possible, and if yes how is it configured?"
elasticapm,I also tried finding the current name  apm-*  within the codebase but couldn't find any matches upon configuring it.
elasticapm,The problem which we'd like to fix is that every space in kibana gets to see the apm metrics of every application.
elasticapm,Certain applications shouldn't be within this space so therefore i thought a new  apm-application-*  index would do the trick...
elasticapm,Since it shouldn't be configured on the agent but instead in the cloud service console.
elasticapm,I'm having troubles to 'user-override' the settings to my likings.
elasticapm,The rules i want to have:
elasticapm,I see you can add  output.elasticsearch.indices  to make this happen:  Array of index selector rules supporting conditionals and formatted string.
elasticapm,I tried this by copying the same i had for metricbeat and updated it to use the apm syntax and came to the following 'user-override'
elasticapm,but when i use this setup it tells me:
elasticapm,Then i updated the example but came to the same conclusion as it was not valid either..
elasticapm,Currently spring boot micorservices are enabled in Elastic APM.
elasticapm,We can also trace at method level and DB queries are shown.
elasticapm,But Spring batch job(Spring boot based) does not show any method level details and Oracle transaction details.
elasticapm,Does anything needs to be explicitly configured in Elastic APM for Spring batch applications.
elasticapm,logstash 's elasticsearch output has option to turn off SSL verification
elasticapm,https://www.elastic.co/guide/en/logstash/current/plugins-outputs-elasticsearch.html#plugins-outputs-elasticsearch-ssl_certificate_verification
elasticapm,Is there a similar option for apm?
elasticapm,"Elasticsearch is using self signed certificate, and apm is complaining when connecting to ES."
elasticapm,I have setup two Elastic APM servers which sends data to Elastic-search.
elasticapm,"When I setup Elastic-search with single instance, Elastic APM server working fine responding 202 response."
elasticapm,"When I setup Elastic-search cluster(3 master, 3 data nodes, 2 ingest, 2 coordinate nodes) , APM server server misbehaves responding interleaved 202 and 503
Using coordinate host in Elastic APM."
elasticapm,This link  https://www.elastic.co/guide/en/apm/server/master/common-problems.html#queue-full   has some info but I am unable to resolve issue.
elasticapm,"Edited: 
Problem is one of Elastic APM server is not able to push data on ES cluster due to index."
elasticapm,But I am still don't know why index name is different on single ES node vs Cluster
elasticapm,Currently have Elastic Apm setup with:  app.UseAllElasticApm(Configuration);  which is working correctly.
elasticapm,I've just been trying to find a way to record exactly how many SQL Queries are run via Entity Framework for each transaction.
elasticapm,Ideally when viewing the Apm data in Kibana the metadata tab could just include an  EntityFramework.ExecutedSqlQueriesCount .
elasticapm,Currently on .Net Core 2.2.3
elasticapm,I have a react application with SSR implementation using node js Express.
elasticapm,I am trying to instrument the application with elastic APM.
elasticapm,Following  Elastic APM   docs I added below changes to index js file to start APM agent.
elasticapm,index.js :
elasticapm,"Getting below message on local env console: APM Server transport error
(ECONNREFUSED): connect ECONNREFUSED 127.0.0.1:8200"
elasticapm,On Kibana APM dashboard UI we get Avg.response time N/A and Trans.per minute is 0.
elasticapm,Please suggest how this can be debugged.
elasticapm,Reference Article:  Distributed Tracing in your Kibana with Node.JS
elasticapm,I am using elastic-apm with spring application to monitor API requests and track all SQL's executed for given endpoint.
elasticapm,The problem is give the amount of traffic elastic search is collecting huge magnitude of data and I would like to enable capturing span only for specific endpoints.
elasticapm,"I tried using public api of elastic-apm  https://www.elastic.co/guide/en/apm/agent/java/current/public-api.html 
I can customize a transaction and span but I couldn't find a way to enable/disable to specific endpoints."
elasticapm,I have tried this but no luck -
elasticapm,I have a very basic Django APM agent setup:
elasticapm,My APM server is up and running on localhost:8200.
elasticapm,But it seems my APM agent can't make a connection to the APM server.
elasticapm,Here is a part of my log file that I think cause the problem:
elasticapm,Here are my APM logs:
elasticapm,"On my APM server, I'm not receiving any requests from my agent."
elasticapm,I checked the APM server log files.
elasticapm,I'm trying out the .Net agent in Elastic APM and I'm using a C# application which is created using a framework called ASP.net Boilerplate.
elasticapm,I've added the core libraries as mentioned in the documentation and added the settings in appsettings.json.
elasticapm,This enables the default instrumentation and I got traces in the APM visualized through Kibana.
elasticapm,Currently I've got a node.js application running and I publish a message to a RabbitMQ queue with the traceparent in the message payload.
elasticapm,The C# app reads the published message.
elasticapm,I need to create a transaction or span using this traceparent / trace id so that Kibana would show the trace among the distributed systems.
elasticapm,I want to know if there is a way to create a transaction (or span) using a traceparent that is being sent from another system not using a HTTP protocol.
elasticapm,I've checked the Elastic APM agent documentation -&gt; Public API for information but couldnt find any information on this.
elasticapm,Is there a way?
elasticapm,Thanks.
elasticapm,I'm trying to figure out a way to add a custom implementation to the Elastic APM .Net Agent code.
elasticapm,Does anyone know how to set it up in Visual Studio 2019?
elasticapm,Any references that I could use to refer on setting it up.
elasticapm,Thanks.
elasticapm,I'm creating custom spans for outgoing requests for my java app.
elasticapm,"It works and it's great ;)
But... when I compare my custom span on Kibana's APM board with other spans from springboot applications, which are created by elastic-apm-agent, then I can see that my spans are very low on additional details."
elasticapm,I would like to have at least the URL details included in my custom span.
elasticapm,The apm-agent-api doesn't allow this.
elasticapm,"Is there a way to set additional details, like url, to custom span?"
elasticapm,(I don't want to use labels for this)
elasticapm,Thanks
elasticapm,I want to install apm elastic for log errors and transactions in lumen.
elasticapm,I found a package for elastic called anik/elastic-apm-php but when I install with composer I see below error
elasticapm,How to use elastic log monitoring?
elasticapm,I am planning to deploy ELK to monitor my application running in AWS.
elasticapm,My apps are using AWS xray for trace data.
elasticapm,I am reading the doc about elastic APM to see how to ingest AWS xray to elasticsearch but I can't find any solution.
elasticapm,I have read the agent doc  https://www.elastic.co/guide/en/apm/agent/nodejs/3.x/intro.html  but xray is not listed as supported framework.
elasticapm,Does this mean I need to build a xray agent and send the trace data to APM server?
elasticapm,Or is there an easier way to do that?
elasticapm,I am using  https://github.com/elastic/apm-agent-nodejs  in a node application to send trace data to Elastic APM Server.
elasticapm,I will send trace data to APM server and I am able to view them via Kibana.
elasticapm,"The trace id, start/end time is calculated by APM client or server."
elasticapm,How can I provide my own trace id and start/end time for each transaction and its spans?
elasticapm,"I'm able to install elasticseach and kibana, both are up and running."
elasticapm,"In Kibana dashboard APM server is setup, and indices are showing up."
elasticapm,I am getting the following error for APM-Agent when I trace the log.
elasticapm,ERROR co.elastic.apm.agent.report.IntakeV2ReportingEventHandler - Error trying to connect to APM Server.
elasticapm,Some details about SSL configurations corresponding the current connection are logged at INFO level.
elasticapm,ERROR co.elastic.apm.agent.report.IntakeV2ReportingEventHandler - Failed to handle event of type JSON_WRITER withthis error: connect timed out
elasticapm,APM-Agent Yaml File
elasticapm,ElasticSearch Yaml
elasticapm,Kibana Yaml
elasticapm,APM Server Yaml
elasticapm,"I receive logs from opentelemetry-collector in Elastic APM
logs structure :"
elasticapm,&quot;{Timestamp:HH:mm:ss} {Level:u3} trace.id={TraceId} transaction.id={SpanId}{NewLine}{Message:lj}{NewLine}{Exception}&quot;
elasticapm,example:
elasticapm,I tried use pipeline
elasticapm,My goal see logs in Elastic APM
elasticapm,I have the following simple code below to run APM with logs.
elasticapm,APM is firing stats and looks like it works great.
elasticapm,"But the problems that the errors are not appearing anywhere in Kibana 
What am I missing?"
elasticapm,Thanks
elasticapm,"Elasticsearch,kibana and apm-server are installed in a ec2 server
I have installed automatic java agent attach to another server to track jenkins app"
elasticapm,Agent is getting attached to the process but dynamic configuration options are not working
elasticapm,Apmagent directory: (command ls)
elasticapm,apm-agent-attach-standalone.jar elasticapm.properties
elasticapm,elasticapm.properties file
elasticapm,Attach Command:
elasticapm,sudo java -jar apm-agent-attach-standalone.jar --include '.
elasticapm,jenkins. '
elasticapm,-&gt;This doesn't pick configuration file but attached the agent
elasticapm,so i used below command to update
elasticapm,Log:
elasticapm,Query:
elasticapm,1.Which is the right way to use the configuration options in command line?
elasticapm,2.Do we need to create a log file or it will create if log_file is used..now its polluting the application log
elasticapm,I am implementing apm agent to sonarqube and I can connect to apm server using curl
elasticapm,curl -v &quot;&quot; returns 200
elasticapm,Command:
elasticapm,sudo java -jar apm-agent-attach-standalone.jar --include '.
elasticapm,sonar. '
elasticapm,---config config_file=elasticapm.properties
elasticapm,Command output:
elasticapm,It shows agent as attached
elasticapm,Logfile:
elasticapm,Query:
elasticapm,It shows access denied exception ... How to fix this?
elasticapm,"Note: 
For server_url i tried using properties file, --config server_url, --args server_url which usually works"
elasticapm,"for the code below I wanted to create a new tab which would store all the external method calls and would be aggregated, but I am not getting any such results."
elasticapm,I was looking at APM tools.
elasticapm,Essentially Dynatrace and I could see that it also provides tracing capabilities that seem to be language agnostic and also without code modifications.
elasticapm,Where would jaeger/open tracing be a better option than a tool like dynatrace?
elasticapm,"Yes, dynatrace (or others like Elastic APM) is capable of providing a lot more insight into an application other than tracing."
